ds,yhat
2023-08-01,9226.574596776887
2023-08-02,7186.232161254877
2023-08-03,5799.655470309899
2023-08-04,-82807.39133897783
2023-08-05,22232.22712566673
2023-08-06,9918.011910760399
2023-08-07,6594.910913824361
2023-08-08,5739.129776771511
2023-08-09,3413.29375977798
2023-08-10,1828.1430200713667
2023-08-11,-86885.34777734385
2023-08-12,18142.06136499826
2023-08-13,5908.903661028553
2023-08-14,2756.2107620428533
2023-08-15,2153.532692136562
2023-08-16,154.38586672017573
2023-08-17,-1041.698409591524
2023-08-18,-89316.64589033168
2023-08-19,16184.641837185587
2023-08-20,4445.793290130322
2023-08-21,1792.6631298972288
2023-08-22,1679.8406421860336
2023-08-23,146.56929503151332
2023-08-24,-620.7642417064344
2023-08-25,-88515.70540032513
2023-08-26,17307.090906046917
2023-08-27,5823.64284229619
2023-08-28,3354.542074792612
2023-08-29,3351.5892489843445
2023-08-30,1853.7603931971626
