ds,y,fbProphetValue,ARIMAValue,HoltValue,neuralProphetValue
2023-07-02,9594.452,35044.57388097793,8502.507969724269,13113.437612680407,3756.5288
2023-07-03,20059.35,29020.238640167452,15217.238009915085,18344.316987471608,38353.3
2023-07-04,8858.366,27586.84267677014,4805.735417598902,15091.470013630473,38951.703
2023-07-05,35988.92,23922.434565180454,11497.42808235965,13109.265523669637,38354.25
2023-07-06,14757.88,21592.55826997054,8984.990994199034,11763.236547932127,37829.168
2023-07-07,0.0,-53686.4784012418,14804.521652044587,17651.0651175967,634.9439
2023-07-08,48384.64,34645.49752211465,12197.242683180668,14504.928857435545,46748.55
2023-07-09,12623.37,22183.655840218325,8997.969612681332,10073.082262270927,40347.477
2023-07-10,25003.52,17027.19963393808,11401.390401502353,14484.454812423008,38010.934
2023-07-11,35734.49,16618.05072567449,10548.467032103206,12476.550484059491,38510.645
2023-07-12,21533.93,14103.825976090597,18573.501378532615,20503.53413069711,37770.824
2023-07-13,17317.33,13017.290103489455,9808.65312636722,12071.658896693532,37161.66
2023-07-14,0.0,-60959.50382595377,9879.289686265154,13113.437612680407,-56.511208
2023-07-15,17758.43,28698.78950409363,15450.165593350177,18344.316987471608,45847.88
2023-07-16,23917.39,17552.84812821226,12341.091731931549,15091.470013630473,39387.11
2023-07-17,29028.25,13668.609900402447,9918.289763874916,13109.265523669637,36965.227
2023-07-18,13946.58,14456.806668679152,8940.346790144857,11763.236547932127,37385.56
2023-07-19,27833.42,13036.724830265792,13921.608578664354,17651.0651175967,36574.863
2023-07-20,22972.38,12916.357302074151,11451.442281578959,14504.928857435545,35875.81
2023-07-21,0.0,-60242.860159126096,7606.829923758801,10073.082262270927,-1272.2694
2023-07-22,18950.88,30068.43216314396,9829.211699983138,14484.454812423008,44452.992
2023-07-23,4333.606,19399.905071185003,9040.535257062576,12476.550484059491,37968.2
2023-07-24,15974.36,15811.675350947475,16461.07944058784,20503.53413069711,35527.957
2023-07-25,5683.305,16713.904460571874,8356.448244035473,12071.658896693532,35934.805
2023-07-26,7935.131,15230.479843550042,9062.220194223371,13113.437612680407,35130.723
2023-07-27,12435.69,14878.947415517643,14719.257548270063,18344.316987471608,34471.027
2023-07-28,0.0,-58665.104498031666,11060.124192744339,15091.470013630473,-2589.9766
2023-07-29,29161.8,31125.961641984977,9323.876587834931,13109.265523669637,43070.625
2023-07-30,8906.248,19823.637731624127,8230.346993899646,11763.236547932127,36596.105
2023-07-31,14021.45,15512.732408681799,13274.751849907945,17651.0651175967,34258.312
2023-08-01,,15630.226217259415,10794.25746477767,14504.928857435545,34685.38
2023-08-02,,13328.159735877412,6998.255646682351,10073.082262270927,33926.195
2023-08-03,,12152.745771972446,9234.274286935397,14484.454812423008,33360.367
2023-08-04,,-62192.070965578925,8440.758408646268,12476.550484059491,-3547.3623
2023-08-05,,26848.587759814814,15906.836148944622,20503.53413069711,42078.383
2023-08-06,,14871.575091468841,7752.473736519541,12071.658896693532,35704.754
2023-08-07,,9984.480107300331,8410.403761185564,13113.437612680407,33412.12
2023-08-08,,9643.863086399302,14060.950956454431,18344.316987471608,33994.77
2023-08-09,,7017.621814677772,10443.251137387222,15091.470013630473,33250.684
2023-08-10,,5663.6937303927225,8655.288444308326,13109.265523669637,32755.057
