,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Arafat Day* (*estimated),Arafat Day* (*estimated)_lower,Arafat Day* (*estimated)_upper,Custom Month,Custom Month_lower,Custom Month_upper,Eid al-Adha Holiday* (*estimated),Eid al-Adha Holiday* (*estimated)_lower,Eid al-Adha Holiday* (*estimated)_upper,Eid al-Adha Holiday* (*estimated) (observed),Eid al-Adha Holiday* (*estimated) (observed)_lower,Eid al-Adha Holiday* (*estimated) (observed)_upper,Eid al-Fitr Holiday* (*estimated),Eid al-Fitr Holiday* (*estimated)_lower,Eid al-Fitr Holiday* (*estimated)_upper,Eid al-Fitr Holiday* (*estimated) (observed),Eid al-Fitr Holiday* (*estimated) (observed)_lower,Eid al-Fitr Holiday* (*estimated) (observed)_upper,Founding Day Holiday,Founding Day Holiday_lower,Founding Day Holiday_upper,National Day Holiday,National Day Holiday_lower,National Day Holiday_upper,National Day Holiday (observed),National Day Holiday (observed)_lower,National Day Holiday (observed)_upper,Weekends,Weekends_lower,Weekends_upper,WorkingDays,WorkingDays_lower,WorkingDays_upper,holidays,holidays_lower,holidays_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
0,2023-01-01,44159.54710434,23454.8347054292,78774.12654931856,44159.54710434,44159.54710434,0.0,0.0,0.0,-0.004472841864971627,-0.004472841864971627,-0.004472841864971627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15800366129685606,0.15800366129685606,0.15800366129685606,0.0,0.0,0.0,0.15353081943188443,0.15353081943188443,0.15353081943188443,0.0,0.0,0.0,50939.39855701022
1,2023-01-02,43974.8842900195,9177.919946892449,70584.10124339903,43974.8842900195,43974.8842900195,0.0,0.0,0.0,-0.0012954086258111248,-0.0012954086258111248,-0.0012954086258111248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11171512999982432,-0.11171512999982432,-0.11171512999982432,0.0,0.0,0.0,-0.11301053862563543,-0.11301053862563543,-0.11301053862563543,0.0,0.0,0.0,39005.2589304044
2,2023-01-03,43790.221474453785,14045.962268404068,68861.12254580847,43790.221474453785,43790.221474453785,0.0,0.0,0.0,-0.03691004446595396,-0.03691004446595396,-0.03691004446595396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010221968703454432,0.010221968703454432,0.010221968703454432,0.0,0.0,0.0,-0.026688075762499527,-0.026688075762499527,-0.026688075762499527,0.0,0.0,0.0,42621.544726086926
3,2023-01-04,43605.535343583084,9915.719958546246,66476.1168001811,43605.535343583084,43605.535343583084,0.0,0.0,0.0,0.05639119514978069,0.05639119514978069,0.05639119514978069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.17641803547519036,-0.17641803547519036,-0.17641803547519036,0.0,0.0,0.0,-0.12002684032540967,-0.12002684032540967,-0.12002684032540967,0.0,0.0,0.0,38371.70071559483
4,2023-01-05,43420.849191068875,17418.138833325753,75210.96159447396,43420.849191068875,43420.849191068875,0.0,0.0,0.0,-0.044172959726587524,-0.044172959726587524,-0.044172959726587524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10885046999997258,0.10885046999997258,0.10885046999997258,0.0,0.0,0.0,0.06467751027338507,0.06467751027338507,0.06467751027338507,0.0,0.0,0.0,46229.201610703334
5,2023-01-06,43236.1630366972,-31800.021271712238,24042.480586044545,43236.1630366972,43236.1630366972,0.0,0.0,0.0,-0.08965825745694458,-0.08965825745694458,-0.08965825745694458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.997614,-0.997614,-0.997614,0.0,0.0,0.0,0.0,0.0,0.0,-1.0872722574569444,-1.0872722574569444,-1.0872722574569444,0.0,0.0,0.0,-3773.3175519890633
6,2023-01-07,43051.47688271494,28609.24747596599,85556.71494984695,43051.47688271494,43051.47688271494,0.0,0.0,0.0,0.1360573772006839,0.1360573772006839,0.1360573772006839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1580036612965214,0.1580036612965214,0.1580036612965214,0.0,0.0,0.0,0.29406103849720533,0.29406103849720533,0.29406103849720533,0.0,0.0,0.0,55711.23888368452
7,2023-01-08,42866.79072399214,11267.05618289186,71426.15904532929,42866.79072399214,42866.79072399214,0.0,0.0,0.0,0.12478650887396475,0.12478650887396475,0.12478650887396475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11171512999987313,-0.11171512999987313,-0.11171512999987313,0.0,0.0,0.0,0.013071378874091634,0.013071378874091634,0.013071378874091634,0.0,0.0,0.0,43427.11878666184
8,2023-01-09,42682.104565173606,13898.820420487713,69628.83660242951,42682.104565173606,42682.104565173606,0.0,0.0,0.0,-0.01725640463934683,-0.01725640463934683,-0.01725640463934683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010221968703426787,0.010221968703426787,0.010221968703426787,0.0,0.0,0.0,-0.0070344359359200415,-0.0070344359359200415,-0.0070344359359200415,0.0,0.0,0.0,42381.860034999656
9,2023-01-10,42497.41840610041,12683.292155721168,68165.88987048267,42497.41840610041,42497.41840610041,0.0,0.0,0.0,0.13532582975561738,0.13532582975561738,0.13532582975561738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.17641803547515733,-0.17641803547515733,-0.17641803547515733,0.0,0.0,0.0,-0.04109220571953995,-0.04109220571953995,-0.04109220571953995,0.0,0.0,0.0,40751.10574640757
