ds,y
01/01/18,50930.49
01/02/18,73204.65
01/03/18,60450.73
01/04/18,101558.6
01/05/18,0
01/06/18,97863.11
01/07/18,87803.02
01/08/18,145306.4
01/09/18,64442.55
01/10/18,68347.33
01/11/18,64381.89
01/12/18,0
01/13/18,105504.7
01/14/18,96688.13
01/15/18,100391.6
01/16/18,200516.8
01/17/18,133729.3
01/18/18,90597.7
01/19/18,0
01/20/18,116412.7
01/21/18,174345.6
01/22/18,127296
01/23/18,158381.5
01/24/18,98390.76
01/25/18,134610.6
01/26/18,0
01/27/18,176696.2
01/28/18,193242.7
01/29/18,215636.9
01/30/18,170986.4
01/31/18,165139.4
02/01/18,112940.7
02/02/18,0
02/03/18,172629.9
02/04/18,127260.9
02/05/18,107037.5
02/06/18,135003
02/07/18,128874.3
02/08/18,74657.92
02/09/18,0
02/10/18,131621.5
02/11/18,108179
02/12/18,79399.98
02/13/18,71783.23
02/14/18,177668.2
02/15/18,69195.21
02/16/18,0
02/17/18,190634.7
02/18/18,204659.4
02/19/18,175501.8
02/20/18,124539
02/21/18,211348.5
02/22/18,155795
02/23/18,0
02/24/18,199140.2
02/25/18,149639.4
02/26/18,159615.6
02/27/18,172382.8
02/28/18,198535.4
03/01/18,179457.6
03/02/18,0
03/03/18,143827
03/04/18,128500.9
03/05/18,170242.2
03/06/18,140505.9
03/07/18,173597.7
03/08/18,101139.8
03/09/18,0
03/10/18,232065
03/11/18,127393.4
03/12/18,183090.4
03/13/18,244602
03/14/18,130389
03/15/18,163484.9
03/16/18,0
03/17/18,180627
03/18/18,116046.8
03/19/18,96790.56
03/20/18,221466.6
03/21/18,155530.9
03/22/18,142005.2
03/23/18,0
03/24/18,209121.6
03/25/18,171215.7
03/26/18,112680.6
03/27/18,177051.5
03/28/18,212433.3
03/29/18,189829.1
03/30/18,0
03/31/18,157969.1
04/01/18,174210.1
04/02/18,89877.42
04/03/18,126351.2
04/04/18,113570.4
04/05/18,90599.64
04/06/18,0
04/07/18,135575.2
04/08/18,130911.8
04/09/18,104937.5
04/10/18,108981.8
04/11/18,113004.7
04/12/18,118696.1
04/13/18,0
04/14/18,219799.5
04/15/18,138101.2
04/16/18,135881.6
04/17/18,97470.3
04/18/18,135730.1
04/19/18,266202.9
04/20/18,0
04/21/18,162887.7
04/22/18,142306.9
04/23/18,194015.5
04/24/18,146360
04/25/18,137397.9
04/26/18,134299.8
04/27/18,0
04/28/18,143563.1
04/29/18,146267.8
